평가년도,도서관구분,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000004,경복고등학교,서울,종로구,31772,1,726,970,16600000
2022,LIBTYPE000004,경신고등학교,서울,종로구,18468,1,1689,2759,15500000
2022,LIBTYPE000004,대신고등학교,서울,종로구,18673,1,969,1353,15000000
2022,LIBTYPE000004,동성고등학교,서울,종로구,25032,2,1853,2434,10000000
2022,LIBTYPE000004,중앙고등학교,서울,종로구,23347,1,1788,3464,11300000
2022,LIBTYPE000004,덕성여자고등학교,서울,종로구,9742,1,43,55,5000000
2022,LIBTYPE000004,배화여자고등학교,서울,종로구,25427,2,967,1281,10000000
2022,LIBTYPE000004,상명대학교사범대학부속여자고등학교,서울,종로구,18547,1,1117,1344,10000000
2022,LIBTYPE000004,서울과학고등학교,서울,종로구,25696,0,392,623,20000000
2022,LIBTYPE000004,서울예술고등학교,서울,종로구,15955,1,313,392,6000000
2022,LIBTYPE000004,서울국제고등학교,서울,종로구,32754,0,724,937,39000000
2022,LIBTYPE000004,경기상업고등학교,서울,종로구,18163,0,590,962,11500000
2022,LIBTYPE000004,서일문화예술고등학교,서울,종로구,9116,0,262,719,6000000
2022,LIBTYPE000004,대동세무고등학교,서울,종로구,25183,1,1248,2386,9500000
2022,LIBTYPE000004,서울대학교사범대학부설초등학교,서울,종로구,34935,1,2681,7298,12000000
2022,LIBTYPE000004,서울교동초등학교,서울,종로구,17300,0,3828,6301,8200000
2022,LIBTYPE000004,서울독립문초등학교,서울,종로구,14047,0,6863,10008,10568000
2022,LIBTYPE000004,서울매동초등학교,서울,종로구,13685,0,912,1417,8500000
2022,LIBTYPE000004,서울명신초등학교,서울,종로구,18261,0,8705,17509,5000000
2022,LIBTYPE000004,서울세검정초등학교,서울,종로구,19691,0,5068,10950,12474000
2022,LIBTYPE000004,서울재동초등학교,서울,종로구,13800,0,2529,4193,12160000
2022,LIBTYPE000004,서울창신초등학교,서울,종로구,18132,0,5604,11019,12000000
